IID	SplN_Kaifeng_2020_Natural_Fertile
WATDE0141	NA
WATDE0143	NA
WATDE0144	9.00
WATDE0145	12.00
WATDE0146	15.50
WATDE0148	19.00
WATDE0149	8.50
WATDE0150	19.50
WATDE0151	14.50
WATDE0152	11.50
WATDE0153	19.50
WATDE0154	14.00
WATDE0156	NA
WATDE0157	17.50
WATDE0158	18.00
WATDE0159	NA
WATDE0160	10.50
WATDE0162	12.00
WATDE0164	21.00
WATDE0165	NA
WATDE0168	NA
WATDE0169	0.00
WATDE0171	NA
WATDE0173	NA
WATDE0174	1.00
WATDE0175	NA
WATDE0176	2.00
WATDE0177	NA
WATDE0178	9.50
WATDE0180	18.00
WATDE0181	13.50
WATDE0182	NA
WATDE0183	17.00
WATDE0184	NA
WATDE0185	16.00
WATDE0187	NA
WATDE0188	4.00
WATDE0190	NA
WATDE0191	8.00
WATDE0192	NA
WATDE0194	NA
WATDE0195	6.33
WATDE0196	NA
WATDE0198	NA
WATDE0199	NA
WATDE0200	NA
WATDE0202	NA
WATDE0203	NA
WATDE0204	NA
WATDE0205	NA
WATDE0206	NA
WATDE0207	20.00
WATDE0209	12.50
WATDE0211	14.00
WATDE0212	NA
WATDE0214	11.00
WATDE0215	NA
WATDE0216	NA
WATDE0217	NA
WATDE0219	7.00
WATDE0220	NA
WATDE0221	3.00
WATDE0222	NA
WATDE0223	20.00
WATDE0224	NA
WATDE0225	NA
WATDE0227	18.50
WATDE0228	12.00
WATDE0229	NA
WATDE0230	20.00
WATDE0232	NA
WATDE0233	NA
WATDE0234	2.00
WATDE0235	10.00
WATDE0236	NA
WATDE0237	1.00
WATDE0238	NA
WATDE0239	NA
WATDE0241	NA
WATDE0242	NA
WATDE0243	NA
WATDE0244	11.00
WATDE0246	NA
WATDE0247	0.00
WATDE0248	NA
WATDE0249	NA
WATDE0250	NA
WATDE0252	NA
WATDE0253	NA
WATDE0254	0.00
WATDE0255	11.00
WATDE0257	17.00
WATDE0258	16.50
WATDE0259	NA
WATDE0260	10.00
WATDE0262	NA
WATDE0263	10.50
WATDE0264	NA
WATDE0266	NA
WATDE0268	NA
WATDE0270	NA
WATDE0271	13.00
WATDE0272	18.00
WATDE0273	0.00
WATDE0275	NA
WATDE0276	20.50
WATDE0277	NA
WATDE0278	19.00
WATDE0280	NA
WATDE0281	0.00
WATDE0282	NA
WATDE0284	0.00
WATDE0285	NA
WATDE0286	19.00
WATDE0287	NA
WATDE0288	NA
WATDE0290	NA
WATDE0291	NA
WATDE0292	NA
WATDE0293	NA
WATDE0294	NA
WATDE0296	NA
WATDE0298	NA
WATDE0299	NA
WATDE0301	NA
WATDE0302	10.50
WATDE0303	NA
WATDE0304	NA
WATDE0305	0.50
WATDE0306	7.00
WATDE0308	NA
WATDE0310	NA
WATDE0312	NA
WATDE0313	8.00
WATDE0315	16.50
WATDE0316	NA
WATDE0317	8.00
WATDE0318	20.50
WATDE0319	8.50
WATDE0321	12.00
WATDE0323	NA
WATDE0324	NA
WATDE0325	NA
WATDE0328	NA
WATDE0329	16.00
WATDE0331	14.00
WATDE0332	18.50
WATDE0333	19.00
WATDE0334	NA
WATDE0335	NA
WATDE0336	NA
WATDE0337	NA
WATDE0340	14.00
WATDE0342	NA
WATDE0343	NA
WATDE0344	2.00
WATDE0345	2.50
WATDE0346	NA
WATDE0347	14.00
WATDE0348	NA
WATDE0350	12.00
WATDE0352	17.00
WATDE0353	15.50
WATDE0354	13.00
WATDE0355	11.00
WATDE0356	12.50
WATDE0358	NA
WATDE0359	16.00
WATDE0361	NA
WATDE0363	NA
WATDE0365	NA
WATDE0366	7.00
WATDE0368	16.00
WATDE0369	10.00
WATDE0370	15.00
WATDE0371	19.00
WATDE0372	11.50
WATDE0373	NA
WATDE0374	NA
WATDE0375	NA
WATDE0377	NA
WATDE0378	NA
WATDE0379	NA
WATDE0381	12.00
WATDE0382	6.50
WATDE0383	10.50
WATDE0385	2.00
WATDE0386	NA
WATDE0387	21.00
WATDE0389	NA
WATDE0391	20.00
WATDE0392	NA
WATDE0394	NA
WATDE0396	NA
WATDE0397	NA
WATDE0399	NA
WATDE0401	18.00
WATDE0403	15.00
WATDE0404	15.00
WATDE0405	NA
WATDE0407	13.00
WATDE0408	18.50
WATDE0409	0.00
WATDE0410	15.50
WATDE0411	17.00
WATDE0412	14.50
WATDE0413	NA
WATDE0415	0.00
WATDE0417	6.50
WATDE0419	14.00
WATDE0420	NA
WATDE0421	11.50
WATDE0422	8.50
WATDE0423	18.50
WATDE0424	10.00
WATDE0425	0.00
WATDE0426	NA
WATDE0427	NA
WATDE0428	NA
WATDE0429	16.00
WATDE0430	15.50
WATDE0431	0.00
WATDE0432	NA
WATDE0433	NA
WATDE0434	NA
WATDE0435	NA
WATDE0436	18.00
WATDE0438	NA
WATDE0439	9.50
WATDE0440	NA
WATDE0441	NA
WATDE0442	5.00
WATDE0443	NA
WATDE0444	NA
WATDE0445	0.00
WATDE0446	16.50
WATDE0448	0.00
WATDE0449	13.00
WATDE0450	NA
WATDE0451	0.00
WATDE0452	8.50
WATDE0453	18.00
WATDE0454	NA
WATDE0455	NA
WATDE0456	NA
WATDE0457	NA
WATDE0460	NA
WATDE0461	NA
WATDE0462	18.00
WATDE0463	NA
WATDE0465	NA
WATDE0467	NA
WATDE0469	NA
WATDE0471	NA
WATDE0474	NA
WATDE0477	NA
WATDE0479	15.50
WATDE0481	NA
WATDE0482	19.00
WATDE0484	0.00
WATDE0486	NA
WATDE0487	11.50
WATDE0488	9.00
WATDE0489	NA
WATDE0490	10.00
WATDE0492	12.00
WATDE0494	25.00
WATDE0496	NA
WATDE0498	9.00
WATDE0500	0.00
WATDE0501	NA
WATDE0502	NA
WATDE0503	18.00
WATDE0504	18.00
WATDE0505	NA
WATDE0507	NA
WATDE0509	20.00
WATDE0510	NA
WATDE0511	NA
WATDE0512	NA
WATDE0513	NA
WATDE0515	9.50
WATDE0516	NA
WATDE0518	NA
WATDE0519	NA
WATDE0520	11.00
WATDE0521	12.50
WATDE0522	NA
WATDE0524	NA
WATDE0527	NA
WATDE0529	NA
WATDE0531	NA
WATDE0533	NA
WATDE0534	NA
WATDE0536	NA
WATDE0537	12.00
WATDE0538	NA
WATDE0539	16.00
WATDE0540	NA
WATDE0541	NA
WATDE0542	NA
WATDE0543	18.00
WATDE0544	NA
WATDE0546	NA
WATDE0547	11.50
WATDE0549	NA
WATDE0550	NA
WATDE0552	NA
WATDE0553	NA
WATDE0555	NA
WATDE0556	13.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	0.00
WATDE0563	NA
WATDE0565	NA
WATDE0566	16.50
WATDE0567	NA
WATDE0568	NA
WATDE0569	11.00
WATDE0570	7.50
WATDE0571	15.00
WATDE0572	NA
WATDE0574	NA
WATDE0577	20.50
WATDE0578	20.00
WATDE0579	NA
WATDE0581	NA
WATDE0582	19.33
WATDE0585	NA
WATDE0586	NA
WATDE0588	NA
WATDE0589	NA
WATDE0591	NA
WATDE0592	NA
WATDE0594	NA
WATDE0596	NA
WATDE0597	NA
WATDE0598	0.00
WATDE0599	NA
WATDE0600	NA
WATDE0601	NA
WATDE0602	NA
WATDE0603	NA
WATDE0604	NA
WATDE0606	16.00
WATDE0608	NA
WATDE0609	NA
WATDE0610	NA
WATDE0611	NA
WATDE0613	NA
WATDE0614	7.00
WATDE0615	17.00
WATDE0616	NA
WATDE0617	NA
WATDE0618	12.00
WATDE0620	NA
WATDE0622	NA
WATDE0624	NA
WATDE0626	NA
WATDE0627	NA
WATDE0628	17.00
WATDE0630	16.00
WATDE0631	NA
WATDE0632	NA
WATDE0634	NA
WATDE0635	NA
WATDE0636	17.00
WATDE0638	NA
WATDE0639	0.50
WATDE0640	18.00
WATDE0641	NA
WATDE0643	18.00
WATDE0644	NA
WATDE0646	NA
WATDE0648	NA
WATDE0649	14.00
WATDE0650	8.50
WATDE0651	17.00
WATDE0652	8.00
WATDE0653	13.00
WATDE0655	6.50
WATDE0657	12.00
WATDE0658	NA
WATDE0659	18.50
WATDE0660	NA
WATDE0661	NA
WATDE0662	NA
WATDE0663	19.50
WATDE0664	NA
WATDE0665	NA
WATDE0666	NA
WATDE0667	19.00
WATDE0669	NA
WATDE0670	NA
WATDE0671	NA
WATDE0672	17.00
WATDE0674	24.00
WATDE0675	NA
WATDE0676	NA
WATDE0678	18.00
WATDE0679	NA
WATDE0680	NA
WATDE0682	10.00
WATDE0683	17.50
WATDE0685	17.50
WATDE0686	9.00
WATDE0687	15.00
WATDE0688	NA
WATDE0689	NA
WATDE0691	9.00
WATDE0693	NA
WATDE0694	NA
WATDE0695	NA
WATDE0697	NA
WATDE0699	NA
WATDE0700	16.00
WATDE0701	NA
WATDE0702	NA
WATDE0703	NA
WATDE0704	15.00
WATDE0705	13.50
WATDE0706	NA
WATDE0707	17.00
WATDE0709	NA
WATDE0710	NA
WATDE0712	17.00
WATDE0713	19.00
WATDE0716	NA
WATDE0718	NA
WATDE0720	NA
WATDE0721	NA
WATDE0723	18.00
WATDE0725	9.00
WATDE0726	NA
WATDE0727	NA
WATDE0728	17.00
WATDE0729	15.50
WATDE0730	17.00
WATDE0732	NA
WATDE0735	NA
WATDE0736	19.00
WATDE0737	12.00
WATDE0738	1.00
WATDE0739	NA
WATDE0740	NA
WATDE0742	NA
WATDE0743	NA
WATDE0744	NA
WATDE0745	0.00
WATDE0747	16.00
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	18.00
WATDE0752	19.00
WATDE0754	13.50
WATDE0755	NA
WATDE0756	NA
WATDE0758	4.00
WATDE0759	11.50
WATDE0760	16.50
WATDE0761	NA
WATDE0763	NA
WATDE0765	NA
WATDE0766	2.50
WATDE0768	NA
WATDE0769	NA
WATDE0770	NA
WATDE0771	9.00
WATDE0773	13.50
WATDE0774	1.50
WATDE0775	16.00
WATDE0776	19.00
WATDE0777	NA
WATDE0779	NA
WATDE0780	10.00
WATDE0781	NA
WATDE0782	NA
WATDE0783	NA
WATDE0785	NA
WATDE0786	NA
WATDE0788	NA
WATDE0789	NA
WATDE0790	NA
WATDE0791	13.00
WATDE0793	18.50
WATDE0794	20.00
WATDE0795	NA
WATDE0797	NA
WATDE0798	16.50
WATDE0800	15.00
WATDE0802	16.00
WATDE0803	NA
WATDE0804	NA
WATDE0805	NA
WATDE0807	NA
WATDE0808	7.00
WATDE0810	NA
WATDE0811	NA
WATDE0812	NA
WATDE0814	NA
WATDE0815	NA
WATDE0816	NA
WATDE0817	15.00
WATDE0818	NA
WATDE0819	NA
WATDE0821	NA
WATDE0823	NA
WATDE0825	NA
WATDE0826	NA
WATDE0827	NA
WATDE0828	NA
WATDE0830	20.00
WATDE0831	NA
WATDE0833	13.00
WATDE0835	NA
WATDE0836	NA
WATDE0837	NA
WATDE0839	18.50
WATDE0840	NA
WATDE0841	NA
WATDE0843	NA
WATDE0845	NA
WATDE0846	17.50
WATDE0848	20.50
WATDE0850	NA
WATDE0851	19.00
WATDE0852	14.00
WATDE0854	NA
WATDE0856	NA
WATDE0857	NA
WATDE0859	18.67
WATDE0861	NA
WATDE0862	NA
WATDE0863	NA
WATDE0864	NA
WATDE0865	NA
WATDE0869	8.00
WATDE0871	NA
WATDE0872	NA
WATDE0873	NA
WATDE0874	NA
WATDE0875	NA
WATDE0876	NA
WATDE0877	NA
WATDE0878	13.00
WATDE0879	24.00
WATDE0880	10.00
WATDE0881	NA
WATDE0882	NA
WATDE0883	NA
WATDE0884	NA
WATDE0887	1.00
WATDE0888	NA
WATDE0889	NA
WATDE0890	NA
WATDE0892	NA
WATDE0894	8.50
WATDE0895	17.50
WATDE0896	NA
WATDE0898	NA
WATDE0899	10.00
WATDE0900	0.00
WATDE0901	6.00
WATDE0902	NA
WATDE0903	0.00
WATDE0904	11.00
WATDE0905	16.00
WATDE0906	15.00
WATDE0907	17.50
WATDE0909	18.00
WATDE0910	0.00
WATDE0911	NA
WATDE0912	16.50
WATDE0913	NA
WATDE0914	NA
WATDE0915	NA
WATDE0916	NA
WATDE0917	12.00
WATDE0918	NA
WATDE0919	NA
WATDE0920	NA
WATDE0922	7.00
WATDE0923	NA
WATDE0924	NA
WATDE0926	16.00
WATDE0927	NA
WATDE0928	NA
WATDE0929	NA
WATDE0930	NA
WATDE0932	NA
WATDE0933	18.00
WATDE0934	13.00
WATDE0935	NA
WATDE0937	NA
WATDE0938	NA
WATDE0939	NA
WATDE0941	12.00
WATDE0944	NA
WATDE0945	NA
WATDE0947	11.00
WATDE0950	NA
WATDE0951	NA
WATDE0952	5.50
WATDE0953	1.50
WATDE0954	NA
WATDE0955	NA
WATDE0957	21.50
WATDE0958	NA
WATDE0961	12.00
WATDE0963	NA
WATDE0965	NA
WATDE0966	23.00
WATDE0967	19.00
WATDE0969	NA
WATDE0970	NA
WATDE0971	NA
WATDE0973	NA
WATDE0974	NA
WATDE0975	NA
WATDE0977	NA
WATDE0978	NA
WATDE0979	NA
WATDE0981	12.00
WATDE0982	NA
WATDE0983	NA
WATDE0984	NA
WATDE0986	10.50
WATDE0987	17.00
WATDE0989	16.50
WATDE0991	NA
WATDE0993	NA
WATDE0995	NA
WATDE0996	9.00
WATDE0997	24.00
WATDE0999	NA
WATDE1001	23.00
WATDE1002	0.00
WATDE1003	NA
WATDE1004	NA
WATDE1005	NA
WATDE1008	NA
WATDE1009	NA
WATDE1010	NA
WATDE1012	22.50
WATDE1014	NA
WATDE1016	25.00
WATDE1017	NA
WATDE1018	NA
WATDE1019	NA
WATDE1021	0.00
WATDE1023	NA
WATDE1025	NA
WATDE1026	NA
WATDE1027	NA
WATDE1029	NA
WATDE1031	NA
WATDE1032	NA
WATDE1034	NA
WATDE1035	NA
WATDE1037	NA
WATDE1038	NA
WATDE1040	16.00
WATDE1042	2.00
WATDE1044	NA
WATDE1046	NA
WATDE1048	NA
WATDE1049	18.00
WATDE1050	22.00
WATDE1051	NA
WATDE1052	NA
WATDE1053	NA
WATDE1055	NA
WATDE1056	NA
WATDE1058	NA
WATDE1060	NA
WATDE1061	9.00
WATDE1062	NA
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	NA
Wyalkatatchen	NA
Xi19	NA
Zemon	NA
Zentos	NA
ability	NA
avocet	NA
blitz	NA
cadenza	NA
captor	NA
cimcog32	NA
david	NA
denver	NA
eagle	NA
festival	NA
fidel	NA
fielder	21.00
holster	NA
lancer	NA
landmark	NA
mace	NA
malacca	NA
mendel	NA
mercia	NA
mina	NA
paragon	NA
robigus	NA
solstice	NA
stanley	NA
torch	NA
veritas	NA
wasp	NA
weebil	NA
