IID	SplN_Quzhou_2022_Natural_Sterility-Bottom
WATDE0192	2.00
WATDE0194	2.33
WATDE0195	2.33
WATDE0196	NA
WATDE0198	1.67
WATDE0199	0.00
WATDE0200	NA
WATDE0202	1.33
WATDE0203	3.67
WATDE0204	2.67
WATDE0205	3.00
WATDE0206	2.67
WATDE0207	0.00
WATDE0209	1.33
WATDE0211	2.00
WATDE0212	3.33
WATDE0214	4.00
WATDE0215	0.33
WATDE0216	4.00
WATDE0217	2.33
WATDE0219	3.00
WATDE0220	2.67
WATDE0221	2.67
WATDE0222	1.00
WATDE0223	1.67
WATDE0224	2.67
WATDE0225	1.00
WATDE0227	2.33
WATDE0228	1.67
WATDE0229	1.33
WATDE0230	0.00
WATDE0232	1.33
WATDE0233	4.33
WATDE0234	4.00
WATDE0235	1.33
WATDE0236	0.33
WATDE0237	2.67
WATDE0238	0.67
WATDE0239	2.67
WATDE0241	NA
WATDE0242	4.00
WATDE0243	NA
WATDE0244	1.33
WATDE0246	3.67
WATDE0247	NA
WATDE0248	2.00
WATDE0249	2.33
WATDE0250	NA
WATDE0252	1.33
WATDE0253	1.33
WATDE0254	3.00
WATDE0255	3.67
WATDE0257	1.33
WATDE0258	1.67
WATDE0259	1.00
WATDE0260	2.33
WATDE0262	1.67
WATDE0263	3.00
WATDE0264	1.00
WATDE0266	1.00
WATDE0268	3.00
WATDE0270	0.33
WATDE0271	2.33
WATDE0272	2.00
WATDE0273	2.67
WATDE0275	3.33
WATDE0276	3.67
WATDE0277	0.67
WATDE0278	1.00
WATDE0280	NA
WATDE0281	3.67
WATDE0282	NA
WATDE0284	1.67
WATDE0285	4.00
WATDE0286	3.67
WATDE0287	1.67
WATDE0288	2.00
WATDE0290	3.00
WATDE0291	4.00
WATDE0292	2.00
WATDE0293	1.67
WATDE0294	NA
WATDE0296	NA
WATDE0298	1.00
WATDE0299	2.33
WATDE0301	4.00
WATDE0302	2.33
WATDE0303	NA
WATDE0304	2.33
WATDE0305	2.67
WATDE0306	2.00
WATDE0308	3.33
WATDE0310	3.67
WATDE0312	2.33
WATDE0313	3.33
WATDE0315	2.33
WATDE0316	1.67
WATDE0317	3.33
WATDE0318	4.00
WATDE0319	2.67
WATDE0321	3.33
WATDE0323	NA
WATDE0324	1.33
WATDE0325	0.67
WATDE0328	3.67
WATDE0329	2.33
WATDE0331	NA
WATDE0332	1.00
WATDE0333	2.00
WATDE0334	NA
WATDE0335	2.00
WATDE0336	3.33
WATDE0337	2.00
WATDE0340	2.67
WATDE0342	4.33
WATDE0343	NA
WATDE0344	2.33
WATDE0345	NA
WATDE0346	2.33
WATDE0347	1.00
WATDE0348	0.33
WATDE0350	3.33
WATDE0352	2.33
WATDE0353	NA
WATDE0354	2.00
WATDE0355	2.00
WATDE0356	2.00
WATDE0358	2.00
WATDE0359	NA
WATDE0361	1.33
WATDE0363	2.33
WATDE0365	2.67
WATDE0366	3.33
WATDE0368	2.33
WATDE0369	6.33
WATDE0370	3.00
WATDE0371	3.33
WATDE0372	2.00
WATDE0373	NA
WATDE0374	1.33
WATDE0375	4.67
WATDE0377	NA
WATDE0378	3.00
WATDE0379	4.00
WATDE0381	2.00
WATDE0382	3.33
WATDE0383	3.00
WATDE0385	2.67
WATDE0386	NA
WATDE0387	3.33
WATDE0389	2.67
WATDE0391	3.33
WATDE0392	3.33
WATDE0394	2.33
WATDE0396	4.33
WATDE0397	0.67
WATDE0399	2.67
WATDE0401	2.67
WATDE0403	1.00
WATDE0404	2.67
WATDE0405	NA
WATDE0407	3.67
WATDE0408	NA
WATDE0409	1.67
WATDE0410	1.00
WATDE0411	NA
WATDE0412	4.67
WATDE0413	1.33
WATDE0415	2.67
WATDE0417	1.33
WATDE0419	2.00
WATDE0420	1.67
WATDE0421	1.67
WATDE0422	2.00
WATDE0423	1.67
WATDE0424	NA
WATDE0425	2.00
WATDE0426	4.00
WATDE0427	3.67
WATDE0428	4.00
WATDE0429	2.33
WATDE0430	NA
WATDE0431	3.00
WATDE0432	3.33
WATDE0433	NA
WATDE0434	3.67
WATDE0435	3.33
WATDE0436	4.00
WATDE0438	NA
WATDE0439	1.33
WATDE0440	3.67
WATDE0441	NA
WATDE0442	2.67
WATDE0443	3.33
WATDE0444	2.00
WATDE0445	2.67
WATDE0446	3.00
WATDE0448	NA
WATDE0449	2.33
WATDE0450	2.00
WATDE0451	2.00
WATDE0452	4.00
WATDE0453	1.67
WATDE0454	2.33
WATDE0455	2.00
WATDE0456	2.00
WATDE0457	3.00
WATDE0460	3.67
WATDE0461	2.67
WATDE0462	1.00
WATDE0463	2.00
WATDE0465	3.67
WATDE0467	3.00
WATDE0469	2.67
WATDE0471	3.33
WATDE0474	1.67
WATDE0477	2.00
WATDE0479	0.67
WATDE0481	3.00
WATDE0482	0.33
WATDE0484	0.00
WATDE0486	2.33
WATDE0487	3.67
WATDE0488	0.67
WATDE0489	2.00
WATDE0490	1.00
WATDE0492	3.00
WATDE0494	2.67
WATDE0496	3.00
WATDE0498	2.00
WATDE0500	2.33
WATDE0501	2.00
WATDE0502	NA
WATDE0503	1.67
WATDE0504	2.67
WATDE0505	4.00
WATDE0507	NA
WATDE0509	3.00
WATDE0510	3.00
WATDE0511	2.00
WATDE0512	3.00
WATDE0513	NA
WATDE0515	NA
WATDE0516	0.33
WATDE0518	3.67
WATDE0519	2.67
WATDE0520	NA
WATDE0521	3.67
WATDE0522	6.00
WATDE0524	3.67
WATDE0527	NA
WATDE0529	NA
WATDE0531	4.33
WATDE0533	0.67
WATDE0534	NA
WATDE0536	2.33
WATDE0537	1.67
WATDE0538	3.67
WATDE0539	2.00
WATDE0540	3.33
WATDE0541	NA
WATDE0542	NA
WATDE0543	2.00
WATDE0544	3.33
WATDE0546	NA
WATDE0547	4.00
WATDE0549	1.67
WATDE0550	2.33
WATDE0552	3.33
WATDE0553	3.67
WATDE0555	3.67
WATDE0556	4.00
WATDE0557	NA
WATDE0558	NA
WATDE0560	NA
WATDE0561	NA
WATDE0562	3.33
WATDE0563	2.67
WATDE0565	2.00
WATDE0566	4.00
WATDE0567	3.33
WATDE0568	3.00
WATDE0569	2.67
WATDE0570	3.00
WATDE0571	3.33
WATDE0572	3.00
WATDE0574	3.33
WATDE0577	4.33
WATDE0578	3.67
WATDE0579	2.67
WATDE0581	2.33
WATDE0582	4.00
WATDE0585	4.00
WATDE0586	4.67
WATDE0588	2.67
WATDE0589	4.33
WATDE0591	2.00
WATDE0592	NA
WATDE0594	3.33
WATDE0596	2.33
WATDE0597	2.00
WATDE0598	1.67
WATDE0599	4.00
WATDE0600	3.67
WATDE0601	NA
WATDE0602	1.67
WATDE0603	3.00
WATDE0604	3.33
WATDE0606	1.33
WATDE0608	4.33
WATDE0609	2.00
WATDE0610	2.00
WATDE0611	2.33
WATDE0613	3.00
WATDE0614	2.00
WATDE0615	2.00
WATDE0616	3.33
WATDE0617	1.33
WATDE0618	3.67
WATDE0620	2.50
WATDE0622	3.00
WATDE0624	NA
WATDE0626	4.00
WATDE0627	2.33
WATDE0628	2.67
WATDE0630	NA
WATDE0631	2.00
WATDE0632	2.00
WATDE0634	3.67
WATDE0635	2.33
WATDE0636	3.33
WATDE0638	2.00
WATDE0639	2.33
WATDE0640	4.00
WATDE0641	NA
WATDE0643	3.67
WATDE0644	NA
WATDE0646	NA
WATDE0648	3.33
WATDE0649	3.00
WATDE0650	3.67
WATDE0651	3.00
WATDE0652	4.00
WATDE0653	NA
WATDE0655	1.33
WATDE0657	3.00
WATDE0658	2.33
WATDE0659	1.33
WATDE0660	1.67
WATDE0661	NA
WATDE0662	3.33
WATDE0663	2.33
WATDE0664	2.33
WATDE0665	4.00
WATDE0666	NA
WATDE0667	4.00
WATDE0669	3.00
WATDE0670	3.00
WATDE0671	3.33
WATDE0672	2.00
WATDE0674	3.67
WATDE0675	4.00
WATDE0676	5.00
WATDE0678	2.67
WATDE0679	NA
WATDE0680	4.33
WATDE0682	3.00
WATDE0683	2.33
WATDE0685	NA
WATDE0686	1.67
WATDE0687	2.00
WATDE0688	1.33
WATDE0689	1.33
WATDE0691	1.67
WATDE0693	3.00
WATDE0694	3.00
WATDE0695	3.00
WATDE0697	2.00
WATDE0699	NA
WATDE0700	NA
WATDE0701	3.00
WATDE0702	2.00
WATDE0703	2.00
WATDE0704	1.33
WATDE0705	2.00
WATDE0706	1.00
WATDE0707	2.67
WATDE0709	1.33
WATDE0710	3.67
WATDE0712	2.67
WATDE0713	2.00
WATDE0716	1.33
WATDE0718	NA
WATDE0720	NA
WATDE0721	3.67
WATDE0723	3.33
WATDE0725	3.67
WATDE0726	2.00
WATDE0727	4.00
WATDE0728	3.33
WATDE0729	2.33
WATDE0730	3.00
WATDE0732	4.33
WATDE0735	1.67
WATDE0736	4.00
WATDE0737	3.67
WATDE0738	2.67
WATDE0739	3.67
WATDE0740	NA
WATDE0742	4.00
WATDE0743	4.67
WATDE0744	NA
WATDE0745	3.33
WATDE0747	3.33
WATDE0748	NA
WATDE0749	NA
WATDE0750	NA
WATDE0751	3.00
WATDE0752	1.33
WATDE0754	2.33
WATDE0755	2.00
WATDE0756	2.67
WATDE0758	NA
WATDE0759	NA
WATDE0760	2.67
WATDE0761	1.33
WATDE0763	NA
WATDE0765	3.67
WATDE0766	4.00
WATDE0768	4.00
WATDE0769	1.67
WATDE0770	2.00
WATDE0771	1.67
WATDE0773	2.33
WATDE0774	2.33
WATDE0775	3.00
WATDE0776	2.00
WATDE0777	3.33
WATDE0779	NA
WATDE0780	2.00
WATDE0781	2.67
WATDE0782	2.33
WATDE0783	3.00
WATDE0785	2.67
WATDE0786	3.33
WATDE0788	1.67
WATDE0789	3.67
WATDE0790	4.33
WATDE0791	0.33
WATDE0793	3.67
WATDE0794	3.00
WATDE0795	4.00
WATDE0797	2.33
WATDE0798	NA
WATDE0800	2.67
WATDE0802	3.00
WATDE0803	2.67
WATDE0804	2.00
WATDE0805	NA
WATDE0807	3.00
WATDE0808	3.33
WATDE0810	3.33
WATDE0811	NA
WATDE0812	2.67
WATDE0814	4.67
WATDE0815	3.33
WATDE0816	3.67
WATDE0817	NA
WATDE0818	3.00
WATDE0819	NA
WATDE0821	NA
WATDE0823	2.00
WATDE0825	NA
WATDE0826	2.33
WATDE0827	1.33
WATDE0828	1.33
WATDE0830	2.67
WATDE0831	4.67
WATDE0833	1.67
WATDE0835	0.67
WATDE0836	2.33
WATDE0837	0.00
WATDE0839	4.67
WATDE0840	3.33
WATDE0841	4.00
WATDE0843	1.67
WATDE0845	3.67
WATDE0846	NA
WATDE0848	NA
WATDE0850	1.00
WATDE0851	2.67
WATDE0852	3.33
WATDE0854	1.33
WATDE0856	NA
WATDE0857	3.33
WATDE0859	2.00
WATDE0861	2.00
WATDE0862	1.00
WATDE0863	3.00
WATDE0864	2.33
WATDE0865	4.00
WATDE0869	4.00
WATDE0871	1.00
WATDE0872	1.00
WATDE0873	1.67
WATDE0874	2.00
WATDE0875	2.00
WATDE0876	1.67
WATDE0877	1.00
WATDE0878	3.00
WATDE0879	4.00
WATDE0880	2.33
WATDE0881	3.67
WATDE0882	2.33
WATDE0883	0.67
WATDE0884	2.00
WATDE0887	NA
WATDE0888	2.67
WATDE0889	4.33
WATDE0890	1.33
WATDE0892	4.00
WATDE0894	2.00
WATDE0895	2.33
WATDE0896	NA
WATDE0898	NA
WATDE0899	2.33
WATDE0900	1.67
WATDE0901	2.67
WATDE0902	2.00
WATDE0903	NA
WATDE0904	2.33
WATDE0905	2.00
WATDE0906	2.67
WATDE0907	2.67
WATDE0909	2.00
WATDE0910	0.00
WATDE0911	NA
WATDE0912	1.00
WATDE0913	1.00
WATDE0914	NA
WATDE0915	1.67
WATDE0916	1.67
WATDE0917	2.00
WATDE0918	3.33
WATDE0919	NA
WATDE0920	2.00
WATDE0922	1.67
WATDE0923	1.33
WATDE0924	2.33
WATDE0926	1.67
WATDE0927	0.67
WATDE0928	1.67
WATDE0929	1.33
WATDE0930	5.00
WATDE0932	1.00
WATDE0933	3.00
WATDE0934	1.00
WATDE0935	2.00
WATDE0937	3.00
WATDE0938	3.00
WATDE0939	0.00
WATDE0941	1.33
WATDE0944	3.00
WATDE0945	4.33
WATDE0947	2.67
WATDE0950	1.00
WATDE0951	1.67
WATDE0952	2.33
WATDE0953	3.67
WATDE0954	3.67
WATDE0955	NA
WATDE0957	2.33
WATDE0958	4.00
WATDE0961	3.33
WATDE0963	2.00
WATDE0965	NA
WATDE0966	4.00
WATDE0967	3.00
WATDE0969	2.00
WATDE0970	NA
WATDE0971	NA
WATDE0973	3.67
WATDE0974	3.33
WATDE0975	NA
WATDE0977	4.67
WATDE0978	4.33
WATDE0979	3.33
WATDE0981	3.00
WATDE0982	NA
WATDE0983	2.33
WATDE0984	3.00
WATDE0986	1.33
WATDE0987	4.50
WATDE0989	2.67
WATDE0991	3.00
WATDE0993	2.33
WATDE0995	3.67
WATDE0996	NA
WATDE0997	4.33
WATDE0999	4.00
WATDE1001	2.33
WATDE1002	4.00
WATDE1003	4.00
WATDE1004	2.00
WATDE1005	1.00
WATDE1008	2.00
WATDE1009	2.33
WATDE1010	2.67
WATDE1012	2.00
WATDE1014	1.67
WATDE1016	3.67
WATDE1017	1.00
WATDE1018	NA
WATDE1019	1.67
WATDE1021	2.33
WATDE1023	4.00
WATDE1025	3.00
WATDE1026	3.33
WATDE1027	2.33
WATDE1029	1.00
WATDE1031	4.67
WATDE1032	5.33
WATDE1034	2.00
WATDE1035	4.00
WATDE1037	1.67
WATDE1038	1.67
WATDE1040	1.67
WATDE1042	NA
WATDE1044	1.67
WATDE1046	NA
WATDE1048	1.33
WATDE1049	2.00
WATDE1050	4.33
WATDE1051	0.67
WATDE1052	1.67
WATDE1053	5.00
WATDE1055	1.00
WATDE1056	1.67
WATDE1058	1.33
WATDE1060	3.00
WATDE1061	2.67
WATDE1062	4.33
Walde	NA
Warrior	NA
Waxwing	NA
Werla	NA
Wizard	0.67
Wyalkatatchen	NA
Xi19	0.33
Zemon	0.33
Zentos	NA
ability	0.00
avocet	0.00
blitz	0.67
cadenza	NA
captor	0.00
cimcog32	NA
david	1.00
denver	0.00
eagle	0.00
festival	2.00
fidel	0.33
fielder	NA
holster	0.00
lancer	NA
landmark	NA
mace	NA
malacca	0.00
mendel	1.00
mercia	1.00
mina	0.67
paragon	NA
robigus	NA
solstice	0.33
stanley	NA
torch	NA
veritas	0.67
wasp	0.00
weebil	NA
